course_id,title,description,skills,prerequisites,difficulty_level,category,resource_type,duration_hours
DS017,Causal Inference for Data Scientists,"Go beyond correlation and learn to estimate causal effects from observational data. Covers potential outcomes, propensity scores, difference-in-differences, and instrumental variables. Applied to marketing attribution and policy evaluation.","causal inference,propensity score,difference-in-differences,econometrics",DS012,advanced,Data Science,course,30
WD001,HTML and CSS Fundamentals,"Build the foundation of every website with HTML5 semantic markup and CSS3 styling. Covers flexbox, grid, responsive design, and accessibility basics. By the end you will have a personal portfolio page live on GitHub Pages.","HTML,CSS,responsive design,flexbox,CSS Grid",,beginner,Web Development,course,6
WD002,JavaScript for Beginners,"Learn the programming language of the web from variables and functions to DOM manipulation. Covers ES6+ features, event handling, fetch API, and asynchronous programming basics. Project: interactive quiz application.","JavaScript,DOM,ES6,async/await,events",WD001,beginner,Web Development,course,6
WD003,Version Control with Git and GitHub,"Master Git workflows every developer uses daily: commits, branches, merges, and pull requests. Covers collaborative development, resolving conflicts, and GitHub Actions CI basics. You will contribute to an open-source repository.","Git,GitHub,version control,branching,CI/CD",,beginner,Web Development,course,6
WD004,Introduction to React,"Build dynamic single-page applications using React, the most popular UI library. Covers components, props, state, hooks (useState, useEffect), and routing with React Router. Project: to-do list app with local storage persistence.","React,components,hooks,JSX,React Router",WD002,beginner,Web Development,course,6
WD005,Node.js and Express Basics,"Create your first backend REST API using Node.js and the Express framework. Covers routing, middleware, request/response cycle, and connecting to a SQLite database. Project: simple CRUD API for a blog.","Node.js,Express,REST API,middleware,CRUD",WD002,beginner,Web Development,course,6
WD006,Full-Stack Web Development with React and Node,"Connect a React frontend to a Node/Express backend and ship a full-stack application. Covers JWT authentication, protected routes, REST API design, and deployment to Heroku. Project: full-stack social bookmarking app.","React,Node.js,JWT,authentication,full-stack,REST","WD004,WD005",intermediate,Web Development,course,15
WD007,TypeScript for JavaScript Developers,"Add static types to your JavaScript code to catch bugs early and improve editor tooling. Covers type annotations, interfaces, generics, and integrating TypeScript into React projects. Refactor an existing JavaScript project to TypeScript.","TypeScript,static typing,generics,interfaces",WD002,intermediate,Web Development,course,15
WD008,Next.js: Server-Side Rendering and Static Sites,"Build production-ready web applications with Next.js including SSR, SSG, and API routes. Covers file-based routing, Image optimisation, Middleware, and deploying to Vercel. Project: e-commerce storefront with product pages and checkout.","Next.js,SSR,SSG,Vercel,performance",WD004,intermediate,Web Development,course,15
WD009,Relational Databases with PostgreSQL,"Design normalised database schemas and write efficient queries for web applications. Covers indexing, transactions, stored procedures, and integrating with Node.js via pg. Project: design the database for a multi-tenant SaaS app.","PostgreSQL,SQL,database design,transactions,indexing",WD005,intermediate,Web Development,course,15
WD010,RESTful API Design and Best Practices,"Design clean, versioned, and secure REST APIs that developers love to use. Covers resource naming, status codes, pagination, rate limiting, and OpenAPI documentation. Project: redesign and document an existing API.","REST,API design,OpenAPI,Swagger,versioning",WD005,intermediate,Web Development,course,15
WD011,Web Performance Optimisation,"Speed up websites using Core Web Vitals, lazy loading, code splitting, and caching strategies. Covers Lighthouse audits, critical rendering path, CDN configuration, and image optimisation. Project: optimise a slow e-commerce page to score 90+ on Lighthouse.","performance,Core Web Vitals,lazy loading,CDN,Lighthouse",WD006,intermediate,Web Development,course,15
WD012,Micro-frontends Architecture,"Break large monolithic frontends into independently deployable micro-frontends. Covers Module Federation, single-spa, shared design systems, and cross-team workflows. Case study: migrating a monolith to micro-frontends without downtime.","micro-frontends,Module Federation,architecture,monorepo","WD006,WD007",advanced,Web Development,course,30
WD013,GraphQL API Development,"Design and build GraphQL APIs with Apollo Server, queries, mutations, subscriptions, and DataLoader. Covers schema-first design, resolver patterns, caching, and securing GraphQL endpoints. Project: real-time collaborative notes API.","GraphQL,Apollo,resolvers,subscriptions,real-time","WD009,WD010",advanced,Web Development,course,30
WD014,DevOps for Web Developers,"Automate build, test, and deployment pipelines for web applications. Covers Docker, GitHub Actions, Nginx configuration, SSL, and blue-green deployments. Project: fully automated CI/CD pipeline for a Next.js app.","DevOps,Docker,CI/CD,Nginx,GitHub Actions","WD003,WD006",advanced,Web Development,course,30
UX001,UX Design Fundamentals,"Understand the principles of user-centred design and how to apply them to digital products. Covers design thinking, user research methods, empathy mapping, and personas. Complete a design brief for a mobile app concept.","UX design,design thinking,empathy mapping,user research,personas",,beginner,UX/UI Design,course,6
UX002,Introduction to Figma,"Learn Figma, the industry-standard design and prototyping tool, from scratch. Covers frames, components, auto-layout, styles, and building interactive prototypes. Project: redesign a mobile app screen in Figma.","Figma,wireframing,prototyping,auto-layout,components",,beginner,UX/UI Design,course,6
UX003,Visual Design Principles,"Master the visual building blocks of great interface design: typography, color, spacing, and hierarchy. Covers gestalt principles, grid systems, icon design, and accessible color palettes. Redesign three poorly designed UI screens applying each principle.","visual design,typography,color theory,hierarchy,grids",,beginner,UX/UI Design,course,6
UX004,User Research Methods,"Learn how to gather actionable insights from real users through interviews, surveys, and usability testing. Covers recruiting participants, writing discussion guides, affinity mapping, and reporting findings. Conduct a guerrilla usability test on a live product.","user research,usability testing,interviews,affinity mapping",UX001,beginner,UX/UI Design,course,6
UX005,Information Architecture and Navigation Design,"Organise content so that users always know where they are and where to go next. Covers card sorting, tree testing, site maps, and navigation patterns for web and mobile. Project: redesign the IA of a government website.","information architecture,card sorting,navigation,site maps",UX001,beginner,UX/UI Design,course,6
UX006,Interaction Design and Motion,"Design micro-interactions and animations that guide users and communicate feedback. Covers timing, easing, state transitions, and building animated prototypes in Figma and Principle. Project: design an onboarding flow with meaningful motion.","interaction design,micro-interactions,animation,motion design,Figma","UX002,UX003",intermediate,UX/UI Design,course,15
UX007,Design Systems: Building and Maintaining,"Create a scalable design system that keeps design and engineering in sync across large products. Covers component libraries, tokens, documentation, versioning, and Storybook integration. Project: build a complete design system for a SaaS dashboard.","design systems,components,design tokens,Storybook,documentation","UX002,UX003",intermediate,UX/UI Design,course,15
UX008,UX Writing and Content Strategy,"Write clear, helpful interface copy that guides users and reflects brand voice. Covers microcopy, error messages, onboarding flows, and content auditing. Rewrite the copy for a real product's critical user flows.","UX writing,microcopy,content strategy,brand voice,error messages",UX001,intermediate,UX/UI Design,course,15
UX009,Accessibility in UX Design,"Design digital products that are usable by people with a wide range of disabilities. Covers WCAG 2.1 guidelines, ARIA roles, screen reader testing, and accessible color contrast. Audit and remediate accessibility issues in an existing product.","accessibility,WCAG,ARIA,inclusive design,screen readers","UX002,UX003",intermediate,UX/UI Design,course,15
UX010,Mobile UX Design Patterns,"Apply proven mobile design patterns to build apps users find intuitive on iOS and Android. Covers gesture navigation, touch targets, bottom sheets, and platform-specific conventions. Design a cross-platform mobile app in Figma.","mobile design,iOS,Android,gestures,design patterns","UX002,UX005",intermediate,UX/UI Design,course,15
UX011,Service Design and Customer Journey Mapping,"Design end-to-end customer experiences that span digital touchpoints, physical channels, and people. Covers journey mapping, service blueprinting, stakeholder alignment, and co-design workshops. Redesign the customer experience for a retail banking onboarding journey.","service design,journey mapping,service blueprinting,co-design","UX004,UX005",advanced,UX/UI Design,course,30
UX012,Advanced Prototyping with Framer,"Build high-fidelity, production-like prototypes in Framer using React-based components. Covers overrides, variants, CMS integration, and sharing prototypes with developers. Project: fully interactive data dashboard prototype.","Framer,prototyping,React components,advanced interactions","UX006,UX007",advanced,UX/UI Design,course,30
UX013,Quantitative UX Research and Analytics,"Combine UX intuition with data: track behavioural metrics, run surveys at scale, and interpret analytics. Covers funnel analysis, cohort analysis, Google Analytics 4, and Hotjar session replays. Identify and fix a significant drop-off in a real product funnel.","quantitative research,analytics,funnel analysis,Google Analytics,Hotjar","UX004,UX009",advanced,UX/UI Design,course,30
BM001,Digital Marketing Fundamentals,"Get a complete overview of the digital marketing landscape: SEO, SEM, social, email, and content. Covers the marketing funnel, target audience definition, KPIs, and campaign planning. Build a digital marketing plan for a fictional product launch.","digital marketing,SEO,SEM,content marketing,email marketing",,beginner,Business/Marketing,course,6
BM002,Business Analytics with Excel and Google Sheets,"Analyse business data and present insights to stakeholders without writing code. Covers dashboards, pivot tables, VLOOKUP, trend analysis, and scenario modelling. Project: revenue dashboard for a fictional e-commerce business.","Excel,Google Sheets,business analytics,dashboards,pivot tables",,beginner,Business/Marketing,course,6
BM003,Introduction to Entrepreneurship,"Explore the mindset and practical steps needed to turn an idea into a viable business. Covers opportunity identification, lean startup methodology, business model canvas, and pitching. Develop and pitch your own startup concept.","entrepreneurship,lean startup,business model canvas,pitching,ideation",,beginner,Business/Marketing,course,6
BM004,Social Media Marketing Strategy,"Create and execute social media strategies that grow brand awareness and drive conversions. Covers platform selection, content calendars, community management, and paid social basics. Project: 30-day social media plan for a small business.","social media,content strategy,community management,paid social,Instagram",BM001,beginner,Business/Marketing,course,6
BM005,Project Management Fundamentals,"Learn how to plan, execute, and deliver projects on time and within budget. Covers waterfall vs agile methodologies, Gantt charts, risk registers, and stakeholder communication. Simulate managing a software product launch.","project management,agile,scrum,Gantt,risk management",,beginner,Business/Marketing,course,6
BM006,SEO: Technical and Content Strategy,"Improve organic search rankings through technical SEO and high-quality content creation. Covers crawl optimisation, schema markup, keyword research, link building, and Core Web Vitals. Audit and optimise a live website for SEO.","SEO,technical SEO,keyword research,link building,schema markup",BM001,intermediate,Business/Marketing,course,15
BM007,Google Analytics 4 and Data-Driven Marketing,"Measure what matters: set up GA4, build custom reports, and use data to improve campaigns. Covers event tracking, conversion funnels, attribution models, and BigQuery export. Project: diagnose and fix a conversion rate problem using analytics.","Google Analytics,GA4,conversion optimisation,attribution,data-driven marketing","BM001,BM002",intermediate,Business/Marketing,course,15
BM008,Growth Hacking and Conversion Optimisation,"Apply rapid experimentation to accelerate user acquisition, activation, and retention. Covers AARRR framework, landing page optimisation, viral loops, and email drip campaigns. Run a full growth experiment cycle on a real product.","growth hacking,CRO,AARRR,landing pages,email automation",BM007,intermediate,Business/Marketing,course,15
BM009,Financial Modelling for Business Decisions,"Build financial models in Excel to evaluate business decisions, forecast revenue, and value companies. Covers three-statement models, DCF valuation, scenario analysis, and sensitivity tables. Model the financial impact of launching a new product line.","financial modelling,Excel,DCF,valuation,forecasting",BM002,intermediate,Business/Marketing,course,15
BM010,Product Management Essentials,"Learn how to define, prioritise, and ship products that customers love and businesses need. Covers PRDs, user stories, OKRs, roadmapping, and working with engineering and design. Create a full product brief for a mobile app feature.","product management,OKRs,roadmapping,user stories,PRD",BM005,intermediate,Business/Marketing,course,15
BM011,Brand Strategy and Positioning,"Define and communicate a distinctive brand position that resonates deeply with target customers. Covers brand archetypes, positioning maps, messaging frameworks, and brand equity measurement. Develop a complete brand strategy for a tech startup.","brand strategy,positioning,messaging,brand equity,marketing","BM001,BM004",advanced,Business/Marketing,course,30
BM012,Advanced Paid Media: Google and Meta Ads,"Manage large-scale paid advertising campaigns across Google Search, Display, YouTube, and Meta. Covers audience targeting, bidding strategies, creative testing, ROAS optimisation, and attribution. Manage a $10k/month mock budget across platforms.","Google Ads,Meta Ads,paid media,ROAS,attribution,audience targeting",BM007,advanced,Business/Marketing,course,30
BM013,Strategic Business Analysis,"Use advanced frameworks to analyse industries, evaluate strategy, and support executive decisions. Covers Porter's Five Forces, SWOT, value chain analysis, competitive benchmarking, and case interview prep. Complete a full competitive analysis for a Fortune 500 company.","strategy,Porter's Five Forces,SWOT,competitive analysis,business analysis","BM009,BM010",advanced,Business/Marketing,course,30
CD001,Introduction to Cloud Computing,"Understand the core concepts, service models, and major providers of cloud computing. Covers IaaS, PaaS, SaaS, AWS vs Azure vs GCP, pricing models, and cloud security basics. Set up a free-tier cloud account and deploy a static website.","cloud computing,AWS,Azure,GCP,IaaS,PaaS,SaaS",,beginner,Cloud/DevOps,course,6
CD002,Linux Command Line for Developers,"Navigate and control Linux/Unix systems from the command line with confidence. Covers file system, permissions, bash scripting, process management, and SSH. Automate a real server setup task with a bash script.","Linux,bash,command line,SSH,scripting",,beginner,Cloud/DevOps,course,6
CD003,Docker for Beginners,"Package applications into containers so they run consistently anywhere. Covers Docker images, containers, Dockerfiles, volumes, networking, and Docker Compose. Containerise a Python Flask application.","Docker,containers,Dockerfile,Docker Compose,containerisation",CD002,beginner,Cloud/DevOps,course,6
CD004,Networking Fundamentals for Cloud Engineers,"Learn the networking concepts every cloud practitioner needs: TCP/IP, DNS, HTTP/S, load balancers, and firewalls. Covers subnets, VPCs, routing tables, and network security groups in AWS. Design a simple three-tier network architecture.","networking,TCP/IP,DNS,VPC,subnets,load balancer",CD001,beginner,Cloud/DevOps,course,6
CD005,AWS Cloud Practitioner Essentials,"Prepare for the AWS Cloud Practitioner certification with hands-on labs covering 20+ AWS services. Covers EC2, S3, RDS, Lambda, IAM, CloudWatch, and cost management. Pass mock exams and earn a verified badge.","AWS,EC2,S3,RDS,Lambda,IAM,CloudWatch",CD001,beginner,Cloud/DevOps,course,6
CD006,Kubernetes: Container Orchestration,"Deploy, scale, and manage containerised applications using Kubernetes. Covers Pods, Deployments, Services, ConfigMaps, Ingress, HPA, and Helm charts. Deploy a microservices application to a managed Kubernetes cluster.","Kubernetes,containers,Helm,microservices,orchestration",CD003,intermediate,Cloud/DevOps,course,15
CD007,Terraform: Infrastructure as Code,"Provision and manage cloud infrastructure reproducibly using Terraform. Covers HCL syntax, providers, modules, state management, and multi-environment deployments. Automate the setup of a production-grade AWS environment.","Terraform,IaC,AWS,infrastructure,HCL,modules",CD005,intermediate,Cloud/DevOps,course,15
CD008,CI/CD Pipelines with GitHub Actions,"Build automated pipelines that test, build, and deploy software on every code change. Covers workflow YAML syntax, matrix builds, secrets management, and deployment to AWS and Azure. Set up a pipeline that deploys a Dockerised app end-to-end.","CI/CD,GitHub Actions,pipelines,automation,deployment","CD003,WD003",intermediate,Cloud/DevOps,course,15
CD009,AWS Solutions Architect Associate,"Design highly available, fault-tolerant, and cost-efficient architectures on AWS. Covers VPC design, auto-scaling, RDS Multi-AZ, ELB, CloudFront, and well-architected framework. Pass the SAA-C03 certification exam.","AWS,architecture,VPC,auto-scaling,CloudFront,S3,high availability","CD005,CD004",intermediate,Cloud/DevOps,course,15
CD010,"Observability: Logging, Metrics, and Tracing","Instrument and monitor distributed systems so you can find and fix problems fast. Covers Prometheus, Grafana, OpenTelemetry, distributed tracing, and alerting strategies. Instrument a microservices app with full observability.","observability,Prometheus,Grafana,OpenTelemetry,monitoring,logging",CD006,intermediate,Cloud/DevOps,course,15
CD011,Site Reliability Engineering Fundamentals,"Apply SRE practices to keep production systems reliable, scalable, and easy to operate. Covers SLOs, SLAs, error budgets, incident management, and chaos engineering. Define SLOs and run a game-day chaos experiment.","SRE,SLO,SLA,incident management,chaos engineering,reliability",CD010,intermediate,Cloud/DevOps,course,15
CD012,Advanced Kubernetes: Security and Scaling,"Secure and scale Kubernetes clusters for production workloads handling millions of requests. Covers RBAC, network policies, Pod Security Standards, cluster autoscaler, and Karpenter. Harden and scale a production cluster under load.","Kubernetes,security,RBAC,autoscaling,Karpenter,network policies","CD006,CD010",advanced,Cloud/DevOps,course,30
CD013,Multi-Cloud Strategy and Architecture,"Design systems that span AWS, Azure, and GCP to maximise resilience and avoid vendor lock-in. Covers cloud-agnostic tooling, data replication, identity federation, and cost governance. Architect a multi-cloud deployment for a global fintech application.","multi-cloud,AWS,Azure,GCP,architecture,resilience",CD009,advanced,Cloud/DevOps,course,30
CD014,Platform Engineering: Building Internal Developer Platforms,"Build self-service platforms that accelerate developer velocity while enforcing guardrails. Covers Backstage, golden paths, Crossplane, GitOps with ArgoCD, and platform metrics. Build and demo an internal developer portal.","platform engineering,Backstage,GitOps,ArgoCD,developer experience,Crossplane","CD007,CD012",advanced,Cloud/DevOps,course,30
DS018,Business Intelligence with Power BI,"Build interactive business dashboards and reports using Microsoft Power BI. Covers DAX calculations, data modelling, Power Query, and publishing to the Power BI Service. Project: executive sales dashboard connected to a live data source.","Power BI,DAX,data visualisation,business intelligence,dashboards","DS003,DS005",intermediate,Data Science,course,15
DS019,Cloud Data Warehousing with BigQuery,"Run fast analytics on massive datasets using Google BigQuery. Covers loading data, writing efficient SQL, partitioning, clustering, and cost control. Analyse 1 billion rows of NYC taxi trip data.","BigQuery,SQL,cloud,data warehousing,analytics",DS005,intermediate,Data Science,course,15
DS020,Data Governance and Privacy Engineering,"Design data systems that are compliant with GDPR, CCPA, and internal governance policies. Covers data catalogues, lineage tracking, PII anonymisation, consent management, and auditing. Implement a data governance framework for a healthcare dataset.","data governance,GDPR,privacy,PII,compliance,data catalogue",DS011,advanced,Data Science,course,30
WD015,Progressive Web Apps (PWA),"Turn websites into app-like experiences that work offline and can be installed on any device. Covers service workers, Web App Manifest, push notifications, and caching strategies. Convert an existing React app into a fully functional PWA.","PWA,service workers,offline,push notifications,React",WD004,intermediate,Web Development,course,15
WD016,Web Security Fundamentals,"Protect web applications against the OWASP Top 10 vulnerabilities and common attacks. Covers XSS, CSRF, SQL injection, authentication hardening, HTTPS, and Content Security Policy. Pentest and fix a deliberately vulnerable web application.","web security,OWASP,XSS,CSRF,SQL injection,authentication",WD006,intermediate,Web Development,course,15
WD017,Serverless Architecture with AWS Lambda,"Build scalable backend functions without managing servers using AWS Lambda and the Serverless Framework. Covers triggers, API Gateway, DynamoDB, cold starts, and cost optimisation for serverless. Migrate a monolithic REST API to a serverless architecture.","serverless,AWS Lambda,API Gateway,DynamoDB,Serverless Framework","WD010,CD005",advanced,Web Development,course,30
UX014,Design for Emerging Interfaces: VR and AR,"Design immersive experiences for virtual and augmented reality platforms. Covers spatial design principles, 3D interaction patterns, comfort heuristics, and prototyping in Unity. Design and prototype a museum AR experience.","VR,AR,spatial design,immersive,Unity,3D interaction","UX006,UX007",advanced,UX/UI Design,course,30
UX015,Design Leadership and Team Management,"Lead design teams effectively and advocate for design at the executive level. Covers hiring, critique facilitation, OKR alignment, design ops, and communicating ROI of design. Create a design leadership playbook for a growing startup.","design leadership,design ops,team management,OKRs,communication","UX011,UX007",advanced,UX/UI Design,course,30
BM014,Data-Driven HR and People Analytics,"Apply data analysis to improve hiring, retention, and employee engagement decisions. Covers attrition modelling, compensation benchmarking, engagement surveys, and HRIS data. Build a people analytics dashboard for a 500-person company.","people analytics,HR,attrition,engagement,dashboards","BM002,DS005",intermediate,Business/Marketing,course,15
BM015,E-commerce: Build and Scale an Online Store,"Launch and grow a profitable online store from zero to first 1000 customers. Covers Shopify setup, product photography, email marketing, Facebook ads, and scaling operations. Launch a fully functional Shopify store.","e-commerce,Shopify,email marketing,Facebook Ads,operations","BM001,BM004",intermediate,Business/Marketing,course,15
CD015,Google Cloud Professional Cloud Architect,"Design enterprise-grade cloud solutions on Google Cloud Platform for the Professional Cloud Architect exam. Covers GKE, BigQuery, Anthos, Spanner, VPC design, identity management, and cost optimisation. Pass the GCP PCA certification exam.","GCP,Google Cloud,Kubernetes,BigQuery,architecture,certification",CD013,advanced,Cloud/DevOps,course,30
CD016,FinOps: Cloud Cost Management,"Optimise cloud spending without sacrificing performance or reliability. Covers Reserved Instances, Spot/Preemptible VMs, rightsizing, tagging strategy, and cost allocation. Reduce a mock cloud bill by 40% using FinOps practices.","FinOps,cost management,AWS,cloud,Reserved Instances,Spot instances",CD005,intermediate,Cloud/DevOps,course,15
CD017,Security Engineering in the Cloud,"Implement defence-in-depth security across cloud environments to protect sensitive workloads. Covers IAM least-privilege, secrets management, WAF, DDoS protection, threat modelling, and compliance. Perform a security posture assessment and remediation on an AWS account.","cloud security,IAM,WAF,DDoS,secrets management,compliance,threat modelling","CD009,CD012",advanced,Cloud/DevOps,course,30
PR001,Project: Sales Analytics Dashboard,"Build an end-to-end sales dashboard from a raw transactional export. You will model the data in SQL, aggregate it into monthly cohorts, and present the findings as a single-page dashboard a sales manager could act on.","SQL,Excel,pivot tables,dashboards,data visualization,aggregations","DS005,DS006",beginner,Data Science,project,10
PR002,Project: Exploratory Analysis of Public Health Data,"Take a messy public health dataset and turn it into a defensible written analysis. You will handle missing values and outliers, then support three findings with charts. Deliverable is a notebook plus a one-page summary for a non-technical reader.","pandas,data cleaning,EDA,matplotlib,seaborn,missing values","DS003,DS004",beginner,Data Science,project,12
PR003,Project: Customer Churn Prediction Model,"Build and evaluate a churn classifier on realistic subscription data. You will engineer features, compare three model families, and justify your choice using precision-recall trade-offs rather than accuracy alone.","machine learning,scikit-learn,classification,feature engineering,model evaluation","DS007,DS009",intermediate,Data Science,project,20
PR004,Project: Review Sentiment Analysis Pipeline,Construct a pipeline that classifies product review sentiment and surfaces themes. You will compare a classical baseline against a transformer and report where each fails. Deliverable is a reusable pipeline plus an error analysis.,"NLP,text classification,transformers,spaCy,sentiment analysis",DS008,intermediate,Data Science,project,18
PR005,Project: Retail Demand Forecasting System,"Forecast 30-day demand across several product lines and quantify your uncertainty. You will decompose seasonality, benchmark ARIMA against Prophet, and back-test honestly. Deliverable includes a forecast with prediction intervals.","time series,ARIMA,Prophet,forecasting,statistics",DS010,intermediate,Data Science,project,20
PR006,Project: Deploy a Monitored ML Service,"Take a trained model to a running endpoint with monitoring and a rollback path. You will containerise the service, track experiments, and add drift detection with alerts. Deliverable is a deployed service and a runbook.","MLOps,Docker,FastAPI,MLflow,model deployment,drift detection",DS015,advanced,Data Science,project,25
PR007,Project: Responsive Personal Portfolio,"Ship a responsive portfolio site that scores well on Lighthouse. You will build a mobile-first layout with flexbox and CSS Grid, then deploy it publicly. Deliverable is a live URL and the source repository.","HTML,CSS,responsive design,flexbox,CSS Grid",WD001,beginner,Web Development,project,8
PR008,Project: Interactive Task Manager App,"Build a task manager with filtering, persistence and keyboard accessibility. You will manage component state, handle events, and persist to local storage. Deliverable is a working app with no console errors.","JavaScript,React,components,hooks,DOM,events","WD002,WD004",beginner,Web Development,project,14
PR009,Project: Full-Stack App with Authentication,"Build a full-stack bookmarking application with real authentication. You will implement JWT auth, protected routes, and a REST API against a database. Deliverable is a deployed app with signup, login and per-user data.","React,Node.js,Express,JWT,authentication,full-stack,REST",WD006,intermediate,Web Development,project,25
PR010,Project: E-commerce Storefront with Next.js,Build a storefront with server-rendered product pages and a working checkout flow. You will model the catalog in PostgreSQL and use static generation for product pages. Deliverable is a deployed storefront with a seeded catalog.,"Next.js,SSR,SSG,PostgreSQL,performance,database design","WD008,WD009",intermediate,Web Development,project,30
PR011,Project: Production GraphQL API,"Design and ship a GraphQL API with subscriptions, caching and query-depth limits. You will solve the N+1 problem with DataLoader and secure the endpoint against abuse. Deliverable is a documented API with load-test results.","GraphQL,Apollo,resolvers,subscriptions,real-time,API design",WD013,advanced,Web Development,project,28
PR012,Project: Usability Audit and Redesign,"Run a usability audit on a real public website and propose an evidence-based redesign. You will test with five participants, synthesise findings, and prioritise fixes by impact. Deliverable is an audit report plus annotated redesign screens.","UX design,user research,usability testing,personas,affinity mapping","UX001,UX004",beginner,UX/UI Design,project,12
PR013,Project: Mobile App Prototype in Figma,Design and prototype a three-flow mobile app to a consistent visual standard. You will build a component library with auto-layout and apply type and colour systems. Deliverable is an interactive prototype ready for user testing.,"Figma,wireframing,prototyping,auto-layout,visual design,typography","UX002,UX003",beginner,UX/UI Design,project,14
PR014,Project: Design System for a SaaS Dashboard,"Build a documented design system that design and engineering can both work from. You will define tokens, build a component library, and document usage and versioning rules. Deliverable is a component library plus written guidelines.","design systems,components,design tokens,documentation,Storybook",UX007,intermediate,UX/UI Design,project,24
